,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26721,29800477,1,6,1,2,0,0,0,0,0,0,1,Orlando Magic,42.0,81.0,W,23.0,14.0,11.0,9,1999,10
26722,29800478,2,3,2,4,0,0,0,0,0,0,2,Milwaukee Bucks,39.0,87.0,L,25.0,13.0,29.0,-8,1999,11
26723,29800479,5,4,1,1,0,0,0,0,0,0,0,Brooklyn Nets,44.0,97.0,W,12.0,15.0,13.0,4,1999,11
26724,29800480,7,5,0,4,0,0,0,0,0,0,0,Miami Heat,53.0,92.0,W,23.0,12.0,24.0,22,1999,16
26725,29800481,1,4,1,0,0,0,0,0,0,0,0,Chicago Bulls,36.0,89.0,L,17.0,17.0,23.0,-7,1999,6
26726,29800482,1,10,1,5,0,0,0,0,0,0,2,Golden State Warriors,49.0,74.0,L,9.0,7.0,17.0,-37,1999,17
26727,29800483,6,1,1,1,0,0,0,0,0,0,0,Phoenix Suns,43.0,88.0,W,21.0,24.0,18.0,5,1999,9
26728,29800484,2,2,0,4,0,0,0,0,0,0,1,Utah Jazz,42.0,106.0,W,25.0,12.0,27.0,13,1999,8
26729,29800485,5,6,0,2,0,0,0,0,0,0,1,Memphis Grizzlies,42.0,89.0,L,17.0,15.0,22.0,-9,1999,13
26730,29800486,2,2,2,2,0,0,0,0,0,0,0,Sacramento Kings,46.0,112.0,W,31.0,21.0,20.0,6,1999,8
26731,29800487,6,3,1,1,0,0,0,0,0,0,0,Washington Wizards,45.0,87.0,L,20.0,22.0,14.0,-21,1999,11
26732,29800488,5,5,2,4,0,0,1,0,0,0,0,Philadelphia 76ers,47.0,96.0,W,15.0,13.0,17.0,4,1999,17
26733,29800489,1,5,1,3,0,0,0,0,0,0,0,Dallas Mavericks,38.0,87.0,L,18.0,9.0,22.0,-6,1999,10
26734,29800490,1,4,2,3,0,0,0,0,0,0,2,New York Knicks,39.0,82.0,L,23.0,15.0,21.0,-24,1999,10
26735,29800491,5,3,1,2,1,0,0,0,0,0,0,Atlanta Hawks,37.0,82.0,L,19.0,11.0,16.0,-7,1999,11
